Price,Address,City,Zipcode,State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,Days on Market,Property Type,MLS ID,Listing Agent,Status,Listing URL
554217,"5926 Oak Ave, San Diego, CA 65383",San Diego,65383,CA,1,3,772,4757,1959,101,Townhouse,Z104635,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/80374762_zpid/
164454,"9583 Oak Ave, Fresno, IL 79339",Fresno,79339,IL,1,1,2348,3615,1969,46,Apartment,Z535721,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/86143665_zpid/
1249331,"8224 Oak Ave, Sacramento, TX 87393",Sacramento,87393,TX,6,1,3630,9369,1990,59,Townhouse,Z900458,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/37082403_zpid/
189267,"232 Oak Ave, Fresno, TX 38666",Fresno,38666,TX,2,1,605,8804,1958,119,Apartment,Z318589,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/39318132_zpid/
465778,"5446 Pine Rd, Los Angeles, CA 23989",Los Angeles,23989,CA,3,2,1711,9260,2020,26,Townhouse,Z899716,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/22454634_zpid/
738357,"9202 Maple Dr, Sacramento, NY 71318",Sacramento,71318,NY,5,3,1177,8317,2015,35,Multi-Family,Z865468,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/90690049_zpid/
1325395,"2698 Elm St, Sacramento, NY 57421",Sacramento,57421,NY,6,1,1990,5592,2012,94,Townhouse,Z689873,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/99288749_zpid/
1158003,"2118 Main St, San Diego, IL 64361",San Diego,64361,IL,2,2,1008,6010,1975,75,Townhouse,Z329631,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/91922548_zpid/
240095,"9474 Main St, San Francisco, FL 13227",San Francisco,13227,FL,6,2,929,5449,1975,79,Townhouse,Z839936,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/79694016_zpid/
1356448,"8803 Maple Dr, San Diego, NY 57397",San Diego,57397,NY,2,3,2094,2179,1970,111,Multi-Family,Z264011,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/13312383_zpid/
678604,"7535 Elm St, San Diego, FL 70072",San Diego,70072,FL,3,3,2350,3341,2013,25,Multi-Family,Z298501,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/27502592_zpid/
1264926,"413 Main St, Fresno, CA 57401",Fresno,57401,CA,3,1,2407,2609,1989,79,Apartment,Z282442,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/63532546_zpid/
645962,"9692 Maple Dr, Los Angeles, CA 91395",Los Angeles,91395,CA,4,3,2746,8256,2008,11,Condo,Z855977,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/20308759_zpid/
575637,"905 Oak Ave, Sacramento, NY 28568",Sacramento,28568,NY,1,4,3387,1740,1966,97,Condo,Z166677,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/36948512_zpid/
507793,"8699 Elm St, Fresno, CA 29191",Fresno,29191,CA,5,4,3480,2022,2007,66,Multi-Family,Z751795,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/44716305_zpid/
1171629,"2475 Elm St, Sacramento, TX 63853",Sacramento,63853,TX,2,4,2351,2275,2007,46,Condo,Z325594,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/51686892_zpid/
698570,"5887 Oak Ave, Sacramento, CA 57513",Sacramento,57513,CA,3,2,722,6443,1953,72,Apartment,Z502987,Mike Lee - Coldwell Banker,Sold,https://www.zillow.com/homedetails/13509507_zpid/
534688,"3934 Elm St, San Francisco, TX 17359",San Francisco,17359,TX,3,1,2356,3883,1958,114,Townhouse,Z726231,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/33809829_zpid/
1108288,"3087 Maple Dr, Los Angeles, NY 11690",Los Angeles,11690,NY,6,3,1156,1218,1958,28,Condo,Z302684,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/72178243_zpid/
1173697,"4360 Maple Dr, Los Angeles, TX 97442",Los Angeles,97442,TX,2,4,1554,9408,1982,1,Multi-Family,Z879412,Mike Lee - Coldwell Banker,Pending,https://www.zillow.com/homedetails/59228209_zpid/
980716,"8332 Oak Ave, Los Angeles, IL 12888",Los Angeles,12888,IL,2,2,982,7527,1983,58,Multi-Family,Z433130,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/80136408_zpid/
527238,"4702 Pine Rd, Los Angeles, NY 63443",Los Angeles,63443,NY,4,4,3164,9694,1955,33,Condo,Z835234,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/10224527_zpid/
1469257,"1993 Maple Dr, Fresno, IL 38811",Fresno,38811,IL,5,3,635,1130,1990,42,Multi-Family,Z310222,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/49182882_zpid/
1381949,"9953 Maple Dr, San Francisco, TX 33081",San Francisco,33081,TX,4,4,2966,2421,1997,38,Single Family,Z166756,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/28976445_zpid/
898597,"3530 Oak Ave, Sacramento, FL 16851",Sacramento,16851,FL,6,3,3814,2093,1957,71,Condo,Z574837,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/85797272_zpid/
1335481,"8606 Main St, Los Angeles, IL 31581",Los Angeles,31581,IL,2,4,1583,6306,1979,30,Apartment,Z227123,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/73771597_zpid/
1444036,"517 Elm St, San Diego, CA 73665",San Diego,73665,CA,6,3,743,8853,2018,50,Townhouse,Z964910,John Doe - RE/MAX,Sold,https://www.zillow.com/homedetails/87129932_zpid/
831525,"982 Oak Ave, Sacramento, CA 45375",Sacramento,45375,CA,4,3,1165,3128,1954,57,Townhouse,Z275900,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/87871884_zpid/
911317,"7675 Maple Dr, Los Angeles, NY 25618",Los Angeles,25618,NY,3,2,908,1492,1963,42,Apartment,Z313548,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/28093606_zpid/
858386,"1580 Elm St, San Francisco, FL 11309",San Francisco,11309,FL,2,2,1475,1926,1983,102,Multi-Family,Z747104,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/97041337_zpid/
705506,"8382 Main St, Sacramento, CA 74703",Sacramento,74703,CA,6,1,3892,4133,1985,113,Townhouse,Z131077,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/11583738_zpid/
1461297,"1193 Oak Ave, San Diego, NY 19858",San Diego,19858,NY,1,3,3156,2935,1961,61,Apartment,Z713668,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/53525900_zpid/
630339,"4020 Elm St, San Diego, IL 93752",San Diego,93752,IL,1,4,1752,3040,1993,61,Single Family,Z221816,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/67849427_zpid/
268142,"7473 Maple Dr, Los Angeles, CA 61325",Los Angeles,61325,CA,6,4,3778,3988,2012,8,Single Family,Z231590,Jane Smith - Keller Williams,For Sale,https://www.zillow.com/homedetails/97057722_zpid/
1250016,"4820 Pine Rd, San Francisco, NY 44242",San Francisco,44242,NY,3,4,3551,1230,1961,58,Multi-Family,Z326594,Jane Smith - Keller Williams,For Sale,https://www.zillow.com/homedetails/28415062_zpid/
